epoch,accuracy,auc,fn,fp,loss,prc,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_prc,val_precision,val_recall,val_tn,val_tp
0,0.7313796877861023,0.7991964817047119,30410.0,79965.0,0.6261410117149353,0.63399338722229,0.5109593272209167,0.7331496477127075,216972.0,83549.0,0.7486639022827148,0.8434237837791443,2512.0,8963.0,0.5380598306655884,0.6879285573959351,0.5286104679107666,0.800047755241394,24130.0,10051.0
1,0.8009107112884521,0.8579405546188354,29125.0,52680.0,0.4696260690689087,0.7336193323135376,0.6169117093086243,0.7444256544113159,244257.0,84834.0,0.8414666056632996,0.8715168237686157,4543.0,2695.0,0.3820449709892273,0.7691087126731873,0.748483419418335,0.6383825540542603,30398.0,8020.0
2,0.814422607421875,0.8785513043403625,26321.0,49932.0,0.4362168610095978,0.7796268463134766,0.6370429396629333,0.7690309882164001,247005.0,87638.0,0.8412256836891174,0.8887929320335388,3273.0,3976.0,0.3830777704715729,0.799781322479248,0.7002864480018616,0.7394730448722839,29117.0,9290.0
3,0.8225463628768921,0.8878480195999146,24808.0,48107.0,0.41945603489875793,0.7989665865898132,0.6495140790939331,0.7823076844215393,248830.0,89151.0,0.7911337018013,0.889815092086792,2070.0,7466.0,0.4630199372768402,0.7968400716781616,0.5842753052711487,0.8352304100990295,25627.0,10493.0
4,0.8263185620307922,0.8917110562324524,24274.0,47091.0,0.4120721220970154,0.8067143559455872,0.6557071208953857,0.7869935631752014,249846.0,89685.0,0.8223234415054321,0.8956441283226013,2477.0,5635.0,0.4100273549556732,0.8132421970367432,0.6415622234344482,0.8028337359428406,27458.0,10086.0
5,0.8290735483169556,0.894363522529602,24106.0,46127.0,0.4070494771003723,0.8119529485702515,0.6607810258865356,0.7884677648544312,250810.0,89853.0,0.8421018123626709,0.8968115448951721,2945.0,4264.0,0.3759462833404541,0.8161789178848267,0.6928396224975586,0.765581488609314,28829.0,9618.0
6,0.8290905952453613,0.8945566415786743,24100.0,46126.0,0.40658673644065857,0.8127866983413696,0.6608008146286011,0.7885204553604126,250811.0,89859.0,0.8303399085998535,0.8969631791114807,2614.0,5132.0,0.39661285281181335,0.8171606063842773,0.6597042679786682,0.7919287085533142,27961.0,9949.0
7,0.8313928842544556,0.8961111903190613,23877.0,45403.0,0.403600811958313,0.8148267865180969,0.664885401725769,0.7904772758483887,251534.0,90082.0,0.8280839323997498,0.8938735127449036,2682.0,5167.0,0.39914849400520325,0.8102144002914429,0.656632125377655,0.7865159511566162,27926.0,9881.0
8,0.8323225378990173,0.8973230123519897,23908.0,44990.0,0.40112337470054626,0.8175313472747803,0.6668419241905212,0.7902052402496338,251947.0,90051.0,0.8480812907218933,0.8961947560310364,3157.0,3779.0,0.3665027916431427,0.8136463165283203,0.7133864164352417,0.7487065196037292,29314.0,9406.0
9,0.8339482545852661,0.8988862037658691,23712.0,44518.0,0.39830824732780457,0.8195023536682129,0.6696619987487793,0.7919251918792725,252419.0,90247.0,0.8266821503639221,0.8967816829681396,2511.0,5402.0,0.40901827812194824,0.8133509159088135,0.6504464745521545,0.800127387046814,27691.0,10052.0
10,0.833992063999176,0.8992230892181396,23768.0,44444.0,0.39769524335861206,0.8210479021072388,0.6698926687240601,0.7914337515830994,252493.0,90191.0,0.8465918898582458,0.9004936218261719,2898.0,4106.0,0.37122130393981934,0.8228635787963867,0.7018371820449829,0.7693226337432861,28987.0,9665.0
11,0.8345323204994202,0.8999040722846985,23700.0,44290.0,0.39635393023490906,0.8221958875656128,0.670826256275177,0.7920304536819458,252647.0,90259.0,0.8004205226898193,0.8951619863510132,2082.0,7030.0,0.4484248161315918,0.8140745162963867,0.5985380411148071,0.8342752456665039,26063.0,10481.0
12,0.8354498744010925,0.9009968042373657,23637.0,43976.0,0.3943512737751007,0.823505699634552,0.6725491285324097,0.7925832867622375,252961.0,90322.0,0.8026984333992004,0.897339403629303,2067.0,6941.0,0.4475046694278717,0.8151692152023315,0.6019384264945984,0.8354692459106445,26152.0,10496.0
13,0.8361191153526306,0.9017007946968079,23501.0,43837.0,0.3930675983428955,0.8243703842163086,0.673576831817627,0.7937766909599304,253100.0,90458.0,0.826156497001648,0.9005522727966309,2413.0,5524.0,0.4050385653972626,0.8213486671447754,0.6475692391395569,0.8079280257225037,27569.0,10150.0
14,0.8367300033569336,0.9023818373680115,23470.0,43617.0,0.3916534185409546,0.8258862495422363,0.6747573018074036,0.7940487265586853,253320.0,90489.0,0.8432626724243164,0.9025352001190186,2774.0,4382.0,0.37398627400398254,0.825447678565979,0.6907769441604614,0.7791928648948669,28711.0,9789.0
15,0.8376815319061279,0.9031023383140564,23250.0,43446.0,0.3903086185455322,0.8267734050750732,0.6761507391929626,0.7959792613983154,253491.0,90709.0,0.8458253145217896,0.9034655690193176,2815.0,4224.0,0.3676769435405731,0.8277667760848999,0.6976810693740845,0.77592933177948,28869.0,9748.0
16,0.8388643264770508,0.9041008353233337,23094.0,43116.0,0.3884948194026947,0.8281430006027222,0.6781931519508362,0.797348141670227,253821.0,90865.0,0.8473585247993469,0.9043110013008118,2781.0,4188.0,0.3676605820655823,0.8286144733428955,0.7002147436141968,0.7786356806755066,28905.0,9782.0
17,0.8381853103637695,0.904175877571106,23200.0,43289.0,0.38830211758613586,0.8282833099365234,0.6770634651184082,0.7964180111885071,253648.0,90759.0,0.8458471894264221,0.9025858640670776,2819.0,4219.0,0.36926203966140747,0.8256803750991821,0.6978443264961243,0.7756109237670898,28874.0,9744.0
18,0.8392512798309326,0.9048299193382263,23132.0,42919.0,0.38703858852386475,0.8291372060775757,0.6791006922721863,0.7970147132873535,254018.0,90827.0,0.8415761590003967,0.9030856490135193,2686.0,4547.0,0.37358739972114563,0.8277003765106201,0.6847615242004395,0.7861975431442261,28546.0,9877.0
19,0.8391977548599243,0.9052736759185791,23019.0,43054.0,0.3862195611000061,0.8300076723098755,0.6786870956420898,0.7980062961578369,253883.0,90940.0,0.8447520732879639,0.9035587310791016,2747.0,4341.0,0.3726605474948883,0.8271188139915466,0.6933672428131104,0.7813420295715332,28752.0,9816.0
20,0.8403123617172241,0.9060829877853394,22958.0,42657.0,0.38464999198913574,0.8310532569885254,0.6808496117591858,0.7985416054725647,254280.0,91001.0,0.8546083569526672,0.9053352475166321,3015.0,3623.0,0.35232290625572205,0.8309805393218994,0.7249259948730469,0.7600095272064209,29470.0,9548.0
21,0.8413467407226562,0.9070298075675964,22767.0,42423.0,0.38279345631599426,0.8327206373214722,0.6824982166290283,0.8002176284790039,254514.0,91192.0,0.8547617197036743,0.9016537070274353,3228.0,3403.0,0.3516112267971039,0.8240896463394165,0.7328466176986694,0.743054986000061,29690.0,9335.0
22,0.841692328453064,0.907315194606781,22781.0,42267.0,0.38222411274909973,0.8333817720413208,0.6832627654075623,0.8000947833061218,254670.0,91178.0,0.833253026008606,0.9068016409873962,2314.0,5299.0,0.3921032249927521,0.8324978351593018,0.659184455871582,0.8158083558082581,27794.0,10249.0
23,0.8423080444335938,0.9077782034873962,22737.0,42058.0,0.3812030553817749,0.8343940377235413,0.6844387650489807,0.8004809021949768,254879.0,91222.0,0.8500963449478149,0.9066946506500244,2759.0,4085.0,0.35947147011756897,0.8328229188919067,0.7058823704719543,0.7803868651390076,29008.0,9804.0
24,0.8426828384399414,0.908214271068573,22737.0,41904.0,0.3804156482219696,0.8349123597145081,0.685230553150177,0.8004809021949768,255033.0,91222.0,0.8527247309684753,0.906898558139801,2823.0,3901.0,0.3550649583339691,0.8327000737190247,0.7140238881111145,0.7752925157546997,29192.0,9740.0
25,0.8428531885147095,0.9083729982376099,22648.0,41923.0,0.3799644112586975,0.8352260589599609,0.6853430867195129,0.801261842250824,255014.0,91311.0,0.8621429800987244,0.904498815536499,3514.0,2780.0,0.33777275681495667,0.8297377824783325,0.7649843692779541,0.7202897667884827,30313.0,9049.0
26,0.8434348106384277,0.9086179137229919,22647.0,41685.0,0.3796374201774597,0.8359159827232361,0.6865718960762024,0.801270604133606,255252.0,91312.0,0.8597774505615234,0.9066864252090454,3149.0,3253.0,0.3450779616832733,0.8332270383834839,0.7431909441947937,0.7493433356285095,29840.0,9414.0
27,0.8442403674125671,0.9091207385063171,22597.0,41404.0,0.37867429852485657,0.8374853134155273,0.6881430745124817,0.8017094135284424,255533.0,91362.0,0.8283686637878418,0.9069175720214844,2233.0,5603.0,0.39831000566482544,0.8347264528274536,0.6483399271965027,0.8222558498382568,27490.0,10330.0
28,0.8441527485847473,0.9091505408287048,22690.0,41347.0,0.37844422459602356,0.8376349806785583,0.6882201433181763,0.8008933067321777,255590.0,91269.0,0.8335815668106079,0.9055944681167603,2323.0,5275.0,0.3946666121482849,0.8328431844711304,0.6600064635276794,0.8150919079780579,27818.0,10240.0
29,0.8451116681098938,0.9096980690956116,22386.0,41257.0,0.37734368443489075,0.8384783864021301,0.6893999576568604,0.8035609126091003,255680.0,91573.0,0.8120290637016296,0.9064867496490479,1953.0,6629.0,0.4262751638889313,0.8336371183395386,0.6154649257659912,0.8445435166358948,26464.0,10610.0
30,0.8446030020713806,0.9097917079925537,22500.0,41352.0,0.3772089183330536,0.8386358022689819,0.6886402368545532,0.802560567855835,255585.0,91459.0,0.856119692325592,0.9075809121131897,2936.0,3633.0,0.3485494554042816,0.8343168497085571,0.7260180711746216,0.7662978768348694,29460.0,9627.0
31,0.8451895117759705,0.910045325756073,22431.0,41180.0,0.3765881359577179,0.838931679725647,0.6896946430206299,0.8031660318374634,255757.0,91528.0,0.8230900764465332,0.90670245885849,2118.0,5959.0,0.4079682528972626,0.8346997499465942,0.6367349624633789,0.8314096927642822,27134.0,10445.0
32,0.8454548120498657,0.9104223847389221,22460.0,41042.0,0.37596455216407776,0.8394876718521118,0.6903448700904846,0.8029115796089172,255895.0,91499.0,0.8514105677604675,0.9068341851234436,2807.0,3977.0,0.3572852611541748,0.8335932493209839,0.7104055881500244,0.7765660881996155,29116.0,9756.0
33,0.8456763029098511,0.9104898571968079,22420.0,40991.0,0.3758019208908081,0.839531421661377,0.6907039880752563,0.8032625913619995,255946.0,91539.0,0.8463729023933411,0.908538281917572,2543.0,4471.0,0.3664757311344147,0.8362393379211426,0.6914636492729187,0.7975801825523376,28622.0,10020.0
34,0.8460705280303955,0.9105956554412842,22405.0,40844.0,0.37551355361938477,0.8401662111282349,0.6915059089660645,0.8033941984176636,256093.0,91554.0,0.844708263874054,0.9089941382408142,2502.0,4588.0,0.3720202147960663,0.8375043272972107,0.6868045330047607,0.8008437752723694,28505.0,10061.0
35,0.8459658622741699,0.9107049107551575,22460.0,40832.0,0.3754116892814636,0.8398891091346741,0.6914404034614563,0.8029115796089172,256105.0,91499.0,0.8168915510177612,0.9077765941619873,2008.0,6352.0,0.41879987716674805,0.8364222645759583,0.6242976188659668,0.8401655554771423,26741.0,10555.0
36,0.8464988470077515,0.9109876751899719,22417.0,40656.0,0.3747875690460205,0.840442955493927,0.6924613118171692,0.8032888770103455,256281.0,91542.0,0.8332310914993286,0.908523440361023,2296.0,5318.0,0.3895415663719177,0.8354861736297607,0.6587744355201721,0.8172411322593689,27775.0,10267.0
37,0.8465767502784729,0.9111983180046082,22329.0,40712.0,0.3743104636669159,0.8408731818199158,0.6923727989196777,0.8040611147880554,256225.0,91630.0,0.8419265747070312,0.9083778858184814,2410.0,4807.0,0.3767067492008209,0.8370171189308167,0.6786764860153198,0.8081668615341187,28286.0,10153.0
